id,averageRating,numVotes,titleType,startYear
312,9.3,10,tvEpisode,2018
313,7.3,100,video,2007
314,8.3,42,video,2007
315,6.0,55,tvEpisode,2010
316,5.3,11,tvEpisode,1998
317,4.8,10,tvEpisode,1958
318,6.4,7,tvEpisode,2011
319,5.3,32,movie,2014
320,4.2,12,tvEpisode,2005
321,5.4,9,tvEpisode,2012
322,6.5,13,movie,2017
323,8.1,10,movie,2018
324,7.4,72,tvEpisode,2014
325,6.4,19037,movie,1983
326,8.0,5,tvEpisode,1983
327,5.3,25,movie,1962
328,8.0,16,tvEpisode,1981
329,5.6,48,movie,1988
330,6.2,80073,movie,2002
331,7.3,1930,tvEpisode,2018
332,7.9,71,tvMiniSeries,1983
333,8.1,21,tvEpisode,2012
334,7.7,14,video,2001
335,10.0,5,tvEpisode,2003
336,7.6,8,movie,1984
337,8.2,257,tvEpisode,2011
338,6.1,18,tvEpisode,2002
339,6.0,6,video,2008
340,7.6,14,tvEpisode,2019
341,4.8,72,movie,2002
342,5.6,18,short,2001
343,6.5,303,tvEpisode,1988
344,6.2,5,movie,1955
345,6.7,36,tvSeries,2014
346,8.4,85,tvEpisode,1960
347,9.1,11,tvEpisode,1971
348,5.4,62,tvEpisode,1988
349,3.5,1501,movie,2012
350,7.9,44,tvEpisode,2004
351,6.2,15,tvEpisode,2019
352,2.9,138,movie,2013
353,5.2,20,movie,1910
354,8.6,18,tvEpisode,1992
355,5.3,1261,tvSeries,1997
356,8.0,160,tvSeries,2020
357,8.8,144,videoGame,2017
358,7.5,21,tvEpisode,2019
359,5.2,13,movie,2002
360,7.5,15,movie,2014
361,8.7,171,tvEpisode,1966
362,6.7,3734,movie,1986
363,7.6,5,tvEpisode,1963
364,4.1,863,movie,2009
365,7.1,11723,movie,2007
366,7.8,39,tvEpisode,2020
367,8.1,12,tvSeries,2002
368,7.5,36,tvEpisode,2000
369,7.5,30,movie,2018
370,3.9,132,movie,2010
371,3.3,25,short,2016
372,8.0,185,tvEpisode,2019
373,7.3,5191,movie,1994
374,8.6,5,tvEpisode,2016
375,7.0,7,tvEpisode,2005
376,7.8,30,tvMiniSeries,2006
377,3.8,57,movie,2009
378,6.5,23,short,2013
379,4.5,22,tvEpisode,2018
380,7.3,29,tvEpisode,1999
381,8.6,18,tvEpisode,1986
382,8.1,73,tvEpisode,2011
383,7.0,30,movie,2019
384,6.5,11,tvEpisode,2004
385,8.8,7,video,2006
386,6.6,99,videoGame,2016
387,6.8,28,short,2010
388,7.3,4025,movie,1949
389,6.8,17,short,2007
390,7.5,45,tvEpisode,1980
391,5.2,42,movie,1983
392,7.5,8,tvEpisode,1961
